Fecha_generacion,Fecha_evaluacion,Antelacion,Numero_habitaciones_hotel,Numero_habitaciones_bloqueadas,Room_nights_individuales_actuales,Room_nights_grupos_actuales,Precio_actual,Revenue_individual_actual,Revenue_grupos_actual,Precio_competidor1,Precio_competidor2,Precio_competidor3,Cancelaciones,Evento_muy_grande,Evento_grande,Duracion_evento,Horas_sol,Temperatura_minima,Temperatura_maxima,Día_de_la_semana
2022-04-01,2022-04-01,0,100,0,15,22,87,1318.0,1779.95,81,96,97,1,0,0,0,8.84,10.08,21.85,Friday
2022-04-01,2022-04-02,1,100,0,12,20,82,981.6,1504.8,85,84,74,1,0,0,0,8.43,9.18,21.43,Saturday
2022-04-01,2022-04-03,2,100,0,13,27,91,1186.47,2267.64,85,94,98,3,0,0,0,7.33,9.51,21.69,Sunday
2022-04-01,2022-04-04,3,100,0,18,6,83,1513.2,464.56,91,91,83,5,0,0,0,8.55,10.67,20.83,Monday
2022-04-01,2022-04-05,4,100,0,16,6,67,1068.8,368.64,60,62,76,1,0,0,0,7.08,9.66,21.58,Tuesday
2022-04-01,2022-04-06,5,100,0,17,12,76,1289.73,837.44,71,79,76,5,0,0,0,7.89,10.23,18.8,Wednesday
2022-04-01,2022-04-07,6,100,0,17,11,67,1142.4,680.24,72,57,75,0,0,0,0,7.4,9.59,19.46,Thursday
2022-04-01,2022-04-08,7,100,0,11,25,86,933.53,1949.67,86,78,77,2,0,0,0,8.48,11.06,20.15,Friday
2022-04-01,2022-04-09,8,100,0,7,28,93,652.87,2403.15,88,100,95,2,0,0,0,7.95,11.79,19.46,Saturday
2022-04-01,2022-04-10,9,100,0,11,28,86,946.0,2215.36,83,94,81,2,0,0,0,8.94,10.2,21.26,Sunday
2022-04-01,2022-04-11,10,100,0,23,6,80,1830.8,439.2,79,81,74,1,0,0,0,8.3,9.69,19.48,Monday
2022-04-01,2022-04-12,11,100,0,15,6,89,1340.0,493.28,96,83,93,3,0,0,0,8.96,11.38,21.39,Tuesday
2022-04-01,2022-04-13,12,100,0,22,3,101,2223.47,278.96,102,97,105,1,0,1,2,8.21,8.15,19.41,Wednesday
2022-04-01,2022-04-14,13,100,0,19,8,86,1645.4,637.76,96,77,94,3,0,0,0,7.73,10.75,18.75,Thursday
2022-04-01,2022-04-15,14,100,0,10,21,83,829.33,1602.16,83,77,88,0,0,0,0,8.14,8.33,21.8,Friday
2022-04-01,2022-04-16,15,100,0,9,23,85,766.8,1803.2,83,91,84,6,0,0,0,8.78,9.2,19.86,Saturday
2022-04-01,2022-04-17,16,100,0,5,19,81,402.67,1407.01,82,72,82,0,0,0,0,8.64,8.56,18.44,Sunday
2022-04-01,2022-04-18,17,100,0,13,7,70,910.0,450.8,69,64,77,1,0,0,0,7.14,8.76,19.19,Monday
